name,longitude,latitude
Amphiprion polymnus,145.851,-16.0207
Amphiprion chrysopterus,145.851,-16.0207
Amphiprion bicinctus,33.908056,27.355833
Amphiprion bicinctus,33.908056,27.355833
Amphiprion perideraion,120.848906,13.67132
Amphiprion polymnus,120.930459,13.713902
Amphiprion ocellaris,120.871943,13.707123
Amphiprion clarkii,120.873143,13.721717
Amphiprion perideraion,120.873143,13.721717
Amphiprion ocellaris,120.893408,13.658686
Amphiprion clarkii,120.879495,13.664844
Amphiprion polymnus,120.879495,13.664844
Amphiprion clarkii,120.870568,13.722217
Amphiprion polymnus,120.909493,13.694116
Amphiprion clarkii,120.909364,13.693531
Amphiprion clarkii,120.892884,13.681606
Amphiprion clarkii,120.892884,13.681606
Amphiprion frenatus,120.892884,13.681606
Amphiprion clarkii,120.892884,13.681606
Amphiprion clarkii,120.875375,13.705207
Amphiprion clarkii,120.875375,13.705207
Amphiprion perideraion,120.875375,13.705207
Amphiprion clarkii,120.887734,13.687862
Amphiprion ocellaris,120.887734,13.687862
Amphiprion clarkii,120.887734,13.687862
Amphiprion clarkii,113.912462,-22.034412
Amphiprion polymnus,125.714994,6.900758
Amphiprion polymnus,125.714994,6.900758
Amphiprion clarkii,129.940155,-1.856575
Amphiprion ocellaris,104.132181,2.809597
Amphiprion sandaracinos,113.958595,4.394265
Amphiprion clarkii,113.952081,4.391521
Amphiprion ocellaris,113.942531,4.384239
Amphiprion ocellaris,123.265405,9.187881
Amphiprion rubrocinctus,113.70905,-23.091884
Amphiprion ocellaris,104.135172,2.809539
Amphiprion frenatus,114.497,-8.09348
Amphiprion ocellaris,102.737033,5.897502
Amphiprion clarkii,123.268769,9.185801
Amphiprion clarkii,123.27096,9.077708
Amphiprion frenatus,123.270599,9.077194
Amphiprion polymnus,123.257841,9.173022
Amphiprion polymnus,123.260155,9.178805
Amphiprion polymnus,123.229817,9.138148
Amphiprion frenatus,123.266236,9.077118
Amphiprion polymnus,123.217206,9.123819
Amphiprion perideraion,109.391411,12.826954
Amphiprion ocellaris,92.733889,11.554283
Amphiprion bicinctus,33.954545,27.139073
Amphiprion bicinctus,33.954545,27.139073
Amphiprion ocellaris,103.835031,1.214621
Amphiprion perideraion,119.810677,-8.401014
Amphiprion polymnus,121.0098,13.753058
Amphiprion melanopus,148.436535,-16.41414
Amphiprion akindynos,152.718258,-24.114963
Amphiprion akindynos,152.71932,-24.114503
Amphiprion melanopus,152.71932,-24.114503
Amphiprion melanopus,145.761172,15.157432
Amphiprion clarkii,119.510085,23.377307
Amphiprion clarkii,130.584362,30.425361
Amphiprion clarkii,130.502866,30.458321
